                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.49265,                0.63802,                 1.0447,                0.96831,                0.92724,                0.97458,                0.79742,                 0.7378,                0.45347,                 1.1183,               0.070049,              0.0033279,              0.0033279
                      1,                0.46095,                0.38425,                  0.997,                0.96485,                0.93034,                0.96716,                0.81296,                0.72449,                0.43586,                 1.1417,               0.039983,              0.0065953,              0.0065953
                      2,                0.50872,                0.43098,                 1.0164,                0.94112,                0.90635,                0.94937,                0.74899,                0.86557,                0.53818,                 1.2843,              0.0098507,              0.0097967,              0.0097967
                      3,                0.51966,                0.44177,                 1.0276,                0.95301,                0.91254,                0.95337,                0.77724,                0.74611,                0.49807,                 1.2494,               0.009703,               0.009703,               0.009703
                      4,                0.48539,                0.40487,                 1.0094,                0.96368,                0.90354,                0.95229,                0.80497,                0.74248,                0.47362,                  1.161,               0.009703,               0.009703,               0.009703
                      5,                 0.4602,                 0.3769,                0.99594,                0.96671,                0.94411,                0.97147,                0.80875,                0.68835,                0.40853,                 1.0784,               0.009604,               0.009604,               0.009604
                      6,                0.44332,                0.35658,                0.98593,                0.97051,                0.94969,                0.97459,                0.82324,                0.66304,                0.37949,                 1.0976,               0.009505,               0.009505,               0.009505
                      7,                0.42996,                0.34532,                0.97991,                0.98077,                0.94731,                0.97086,                0.83686,                 0.6611,                0.43712,                  1.063,               0.009406,               0.009406,               0.009406
                      8,                 0.4146,                0.33002,                0.97034,                0.97739,                0.94659,                 0.9685,                0.81297,                0.69598,                0.40779,                 1.1087,               0.009307,               0.009307,               0.009307
                      9,                0.41027,                0.32494,                0.97014,                0.97029,                0.95743,                 0.9751,                0.84175,                0.64854,                0.36524,                 1.0438,               0.009208,               0.009208,               0.009208
                     10,                0.39995,                0.31094,                0.96302,                0.97228,                0.95743,                0.97591,                   0.84,                0.65458,                0.36385,                 1.0428,               0.009109,               0.009109,               0.009109
                     11,                0.39307,                0.30403,                0.96106,                0.96779,                0.95347,                0.97601,                0.84135,                0.65017,                0.37211,                 1.0618,                0.00901,                0.00901,                0.00901
                     12,                0.39493,                0.30582,                0.96392,                0.97408,                0.96207,                0.97806,                0.84284,                0.63209,                0.36087,                 1.0561,               0.008911,               0.008911,               0.008911
                     13,                0.38208,                0.29244,                 0.9573,                0.97209,                0.95433,                0.97855,                 0.8468,                0.60869,                0.36378,                 1.0103,               0.008812,               0.008812,               0.008812
                     14,                0.37604,                0.29039,                 0.9529,                  0.973,                0.94851,                0.97709,                0.85969,                 0.6148,                0.35551,                 1.0088,               0.008713,               0.008713,               0.008713
                     15,                0.37182,                 0.2827,                 0.9527,                0.97679,                0.94969,                0.97972,                0.85679,                0.59801,                 0.3289,                0.99644,               0.008614,               0.008614,               0.008614
                     16,                0.36903,                0.27938,                0.94954,                0.97075,                0.95975,                0.97629,                0.85268,                0.59163,                0.34446,                 1.0003,               0.008515,               0.008515,               0.008515
